REF_AREA,ACTIVITY,TIME_PERIOD,B1G,SAL,Produtividade_Trabalho,Prod_Projetada_Contrafactual,Choque_Estrutural_Percentual
AUS,C26,2017,5143.87752808988,71.591,71.85089645472029,78.59365596565294,-8.57926689894587
AUS,C26T28,2015,12047.0,241.987,49.78366606470596,54.48805355618879,-8.63379618916209
AUS,C26T28,2016,12037.0,193.295,62.27269199927572,52.86391701630919,17.7981041020169
AUS,C26T28,2017,12523.0,269.107,46.535392984946505,51.23978047642959,-9.18112343132912
AUS,C26_27,2015,7647.88772542176,124.289,61.53310208805091,67.7556318295342,-9.183782326963597
AUS,C26_27,2016,7228.18855721393,91.297,79.1722461550098,66.72718667204299,18.6506581554726
AUS,C26_27,2017,7423.34494382022,124.812,59.47621177306846,65.69874151455133,-9.471307361503523
AUS,C27,2015,2111.4537521815,39.457,53.51277979018932,58.42877003991089,-8.413646644219286
AUS,C27,2016,2134.92064676617,33.931,62.919473247654665,53.087492748209115,18.520333115142694
AUS,C27,2017,2279.46741573034,53.221,42.83022520678566,47.74621545650734,-10.296083580068704
AUS,C28,2015,4399.11227457824,117.698,37.37627040882802,40.97195864699643,-8.775973511903368
AUS,C28,2016,4808.81144278607,101.998,47.14613465740573,39.95475818106888,17.998798650580294
AUS,C28,2017,5099.65505617978,144.295,35.34186947697273,38.93755771514134,-9.234498641321764
AUS,C29,2015,3128.52354152368,71.158,43.965872305625226,41.013359781552936,7.198904307762355
AUS,C29,2016,3890.26982129373,90.681,42.900605653816456,48.80563070195967,-12.099065134929432
AUS,C29,2017,3888.34429169157,65.295,59.55041414643648,56.59790162236459,5.2166466237066444
AUS,C29_30,2015,7263.0,130.646,55.59297644015125,54.07332622219292,2.810350914448878
AUS,C29_30,2016,7914.0,144.496,54.7696822057358,57.80898264165262,-5.25748819133679
AUS,C29_30,2017,8340.0,132.246,63.06428927907082,61.54463906111232,2.469183735807645
AUS,C30,2015,4134.47645847632,59.487,69.50218465339182,71.75983787207724,-3.1461236335427967
AUS,C30,2016,4023.73017870627,53.815,74.76967720349847,70.25437076612798,6.427082597325717
AUS,C30,2017,4451.65570830843,66.951,66.49125044149349,68.74890366017871,-3.2839115949319764
AUS,C31T33,2015,2966.0,238.505,12.43579799165636,12.274950776399919,1.3103695337474575
AUS,C31T33,2016,3008.0,240.265,12.519509708030716,12.841204138543844,-2.505173401515659
AUS,C31T33,2017,3149.0,232.085,13.568304715944588,13.407457500687997,1.1996846922568194
AUS,C31_32,2015,1110.26535814428,95.897,11.577686039649624,10.817462417326851,7.027744520795243
AUS,C31_32,2016,1061.94112060779,126.65,8.384848958608686,9.905296203254466,-15.349841271240583
AUS,C31_32,2017,1099.25171878465,112.705,9.753353611504814,8.99312998918208,8.453381895260193
AUS,C33,2015,1855.73464185572,142.609,13.012745632153088,13.691785645214622,-4.959470084158557
AUS,C33,2016,1946.05887939221,113.615,17.128538303852572,15.77045827773145,8.611544459927266
AUS,C33,2017,2049.74828121535,119.379,17.170090897187528,17.849130910249187,-3.804330958611246
AUS,D,2015,27456.0,143.023,191.96912384721335,164.89115171474987,16.42172539331066
AUS,D,2016,30374.0,141.461,214.71642360792015,223.14495803110185,-3.7771565611654734
AUS,D,2017,31895.0,153.669,207.5565013112599,281.3987643474393,-26.24114686765552
AUS,D,2018,32864.0,81.284,404.3108114758132,339.65257066379127,19.03658220094102
AUS,D,2019,30930.0,79.626,388.440961494989,397.9063769801287,-2.378804671836765
AUS,D,2020,29797.0,86.476,344.569591562977,456.1601832964807,-24.463027642413838
AUS,D,2021,28632.0,79.035,362.2698804327197,514.4139896128181,-29.576199763659638
AUS,D,2022,31156.0,85.599,363.97621467540506,572.6677959291555,-36.44199704213289
AUS,D,2023,35176.0,82.541,426.1639669982191,630.9216022455075,-32.45373664787151
AUS,D,2024,36716.0,109.529,335.2171570999461,689.175408561845,-51.35967520961472
AUS,D_E,2015,44187.0,249.015,177.4471417384495,146.40717758702522,21.201121873259222
AUS,D_E,2016,47550.0,269.546,176.40773745483148,193.21522921696305,-8.698844200970457
AUS,D_E,2017,50581.0,290.257,174.26280847662588,240.02328084691544,-27.39753916297435
AUS,D_E,2018,52072.0,151.102,344.61489589813505,286.8313324768533,20.14548512615677
AUS,D_E,2019,50955.0,155.643,327.3838206665253,333.63938410680566,-1.8749475446453334
AUS,D_E,2020,50283.0,149.227,336.956448899998,380.4474357367435,-11.431536331037261
AUS,D_E,2021,48840.0,142.784,342.0551322277006,427.2554873666959,-19.941313255942184
AUS,D_E,2022,52261.0,162.979,320.6609440480062,474.0635389966337,-32.35907896931024
AUS,D_E,2023,58288.0,157.491,370.1036884647376,520.8715906265861,-28.945311066107713
AUS,D_E,2024,59612.0,194.725,306.1342919501862,567.679642256524,-46.0727020730735
AUS,E,2015,16731.0,105.992,157.8515359649785,123.02583336873795,28.307633968111045
AUS,E,2016,17176.0,128.085,134.09845024788223,158.24279461678816,-15.257784360656402
AUS,E,2017,18686.0,136.588,136.80557589246493,193.45975586485292,-29.28473662086365
AUS,E,2018,19208.0,69.818,275.1152997794265,228.6767171129177,20.30752551147479
AUS,E,2019,20025.0,76.017,263.4279174395201,263.89367836098245,-0.17649567217946638
AUS,E,2020,20486.0,62.751,326.4649168937547,299.1106396090472,9.145203701366466
AUS,E,2021,20208.0,63.749,316.993207736592,334.327600857112,-5.184852544653795
AUS,E,2022,21105.0,77.38,272.7448953217886,369.54456210517674,-26.194315032523154
AUS,E,2023,23112.0,74.95,308.36557705136755,404.76152335322695,-23.815491527769716
AUS,E,2024,23780.0,85.196,279.1210854969717,439.9784846012917,-36.56028754453502
AUS,E36,2015,12845.2589210621,47.669,269.46776565613084,255.46998821536545,5.479225774639729
AUS,E36,2016,12953.1823488209,63.271,204.72542474152297,232.7209796230527,-12.029665278513013
AUS,E36,2017,13927.3348389525,62.184,223.969748471512,209.97197103074723,6.666498091173789
AUS,E37T39,2015,3885.74107893788,58.323,66.62450626575931,66.5783804484513,0.06928047362719791
AUS,E37T39,2016,4222.81765117909,64.814,65.15286282561006,65.24511446022643,-0.14139240214317006
AUS,E37T39,2017,4758.66516104749,74.403,63.95797428930943,63.911848472001566,0.07217099553624706
AUS,ENERGYP,2015,69648.0,162.83507410458364,427.7211183339246,439.75474189798115,-2.736439750966513
AUS,ENERGYP,2016,96188.0,157.9450358921982,608.9966642930832,584.9294171649963,4.114555777470508
AUS,ENERGYP,2017,114996.0,160.14584220585218,718.0704688678937,730.1040924319532,-1.648206562433563
AUS,F,2015,132207.0,960.89,137.58806939399932,139.67463213763585,-1.493873806361934
AUS,F,2016,134353.0,940.516,142.8503077034309,141.66438847751215,0.8371329158047391
AUS,F,2017,142288.0,968.527,146.91175362173692,143.654144817388,2.2676747743616943
AUS,F,2018,144572.0,1004.55,143.91717684535365,145.64390115726383,-1.1855795527240698
AUS,F,2019,142334.0,968.236,147.0034165224181,147.63365749714012,-0.4268951846121083
AUS,F,2020,145549.0,955.753,152.2872541336517,149.62341383701596,1.780363265563123
AUS,F,2021,153938.0,1003.059,153.46853973694468,151.61317017689225,1.2237522359618946
AUS,F,2022,171822.0,1068.005,160.88126928244716,153.6029265167681,4.73841412447602
AUS,F,2023,189143.0,1042.786,181.38237375645625,155.5926828566444,16.575130929243787
AUS,F,2024,198741.0,1095.959,181.3398128944605,157.58243919652023,15.076155578676232
