REF_AREA,ACTIVITY,TIME_PERIOD,B1G,SAL,Produtividade_Trabalho
AUS,G,2022,206694.0,1711.29,120.78256753677051
AUS,G,2023,220846.0,1766.2,125.04019929792776
AUS,G,2024,225383.0,1781.343,126.52420112241157
AUS,G45,2015,7171.33051688528,445.869,16.083940612344165
AUS,G45,2016,7908.98403398462,488.064,16.2048092749816
AUS,G45,2017,7927.19326958088,462.702,17.1323946505113
AUS,G46,2015,66612.0,661.708,100.66675935609061
AUS,G46,2016,68865.0,618.373,111.36482349649806
AUS,G46,2017,69726.0,645.04,108.09562197693167
AUS,G47,2015,73879.0,1534.208,48.154487527114966
AUS,G47,2016,75572.0,1565.869,48.262019364327415
AUS,G47,2017,76906.0,1523.653,50.47474720293925
AUS,GTI,2015,264040.0,1333.596,197.99099577383257
AUS,GTI,2016,271476.0,1343.854,202.01301629492488
AUS,GTI,2017,277227.0,1376.451,201.40709694714886
AUS,GTI,2018,287498.0,1380.354,208.27845610618724
AUS,GTI,2019,286947.0,1322.08,217.04208519908025
AUS,GTI,2020,300557.0,1314.717,228.60965515772594
AUS,GTI,2021,320955.0,1304.379,246.05961917510174
AUS,GTI,2022,379130.0,1472.895,257.40463508939877
AUS,GTI,2023,403336.0,1434.936,281.082919377589
AUS,GTI,2024,417424.0,3333.761,125.21113541132672
AUS,GTN,2015,797090.0,2391.893,333.2465122812768
AUS,GTN,2016,830892.0,2416.376,343.8587372163934
AUS,GTN,2017,864436.0,2502.917,345.3714206264131
AUS,GTN,2018,899198.0,2542.583,353.6553182334657
AUS,GTN,2019,914425.0,2470.426,370.14871119393985
AUS,GTN,2020,949782.0,2450.644,387.5642484179669
AUS,GTN,2021,1021494.0,2469.948,413.56903060307343
AUS,GTN,2022,1139617.0,2701.957,421.7746618469502
AUS,GTN,2023,1226084.0,2691.078,455.61072551594566
AUS,GTN,2024,1300289.0,5774.536,225.17636049026277
AUS,GTNXL,2015,93.46690273171912,4792.311,0.019503513593278718
AUS,GTNXL,2016,94.04236913959592,4831.400000000001,0.01946482782207971
AUS,GTNXL,2017,94.59947712385537,4863.894,0.01944932951331903
AUS,GTNXL,2018,95.8132983580997,4958.534000000001,0.019322908415692962
AUS,GTNXL,2019,97.7479173449088,5112.601,0.01911901932986924
AUS,GTNXL,2020,100.0,4906.536999999999,0.020380973383060195
AUS,GTNXL,2021,101.66138289477963,5090.030000000001,0.01997264905998189
AUS,GTNXL,2022,107.98032783425415,5400.305,0.01999522764626334
AUS,GTNXL,2023,112.82158797907675,5521.877,0.02043174594056998
