DATAFLOW,FREQ,REF_AREA,ACTIVITY,MEASURE,PRICE_BASE,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,BASE_PER,UNIT_MULT,DECIMALS,EST_METHOD,OBS_STATUS
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,C30,B1G,V,XDC,2016,1683.612,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,J61,B1G,V,XDC,2016,19320.053,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,J62_63,B1G,V,XDC,2016,39661.608,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,H52,B1G,V,XDC,2016,24774.716,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,H53,B1G,V,XDC,2016,6504.592,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,C20,B1G,V,XDC,2016,18966.869,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,C10,B1G,V,XDC,2016,28354.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,J,B1G,V,XDC,2016,86399.587,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,J58T60,B1G,V,XDC,2016,27417.926,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,Q86,B1G,V,XDC,2016,93005.917,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,C10T12,B1G,V,XDC,2016,31732.98,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,A03,B1G,V,XDC,2016,2702.282,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,C29,B1G,V,XDC,2016,2863.965,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,G,B1G,V,XDC,2016,235117.585,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,C26T28,B1G,V,XDC,2016,67618.107,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,C22_23,B1G,V,XDC,2016,18186.295,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,N80T82,B1G,V,XDC,2016,27015.17,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,B,B1G,V,XDC,2016,16673.182,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,C10_11,B1G,V,XDC,2016,31158.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,C18,B1G,V,XDC,2016,2924.286,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,A01,B1G,V,XDC,2016,15874.605,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,C31_32,B1G,V,XDC,2016,20759.824,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,N77,B1G,V,XDC,2016,11715.722,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,F,B1G,V,XDC,2016,100125.707,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,OTQ,B1G,V,XDC,2016,399197.982,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,ISR,U,B1G,V,XDC,2016,0.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,ISR,H,B1G,V,XDC,2016,47507.5201517191,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,ISR,T,B1G,V,XDC,2016,0.0,,6,1,,A
